2J,470,BKO,1044,DKR,1084,0,M87,12.5335,-7.94994,14.73970032,-17.49020004
2J,470,BKO,1044,OUA,246,0,CRJ,12.5335,-7.94994,12.3532,-1.51242
2J,470,BOY,247,ABJ,253,0,CRJ,11.16009998,-4.33096981,5.261390209,-3.926290035
2J,470,BOY,247,OUA,246,0,CRJ,11.16009998,-4.33096981,12.3532,-1.51242
2J,470,COO,245,LFW,298,0,M87,6.357230186,2.384350061,6.165609837,1.254510045
2J,470,COO,245,OUA,246,0,M87,6.357230186,2.384350061,12.3532,-1.51242
2J,470,DKR,1084,BKO,1044,0,M87,14.73970032,-17.49020004,12.5335,-7.94994
2J,470,DKR,1084,OUA,246,0,M87,14.73970032,-17.49020004,12.3532,-1.51242
2J,470,LFW,298,OUA,246,0,M87 CRJ,6.165609837,1.254510045,12.3532,-1.51242
2J,470,NIM,280,OUA,246,0,CRJ,13.4815,2.18361,12.3532,-1.51242
2J,470,OUA,246,ABJ,253,0,E70 CRJ M87,12.3532,-1.51242,5.261390209,-3.926290035
2J,470,OUA,246,ACC,248,0,CRJ,12.3532,-1.51242,5.6051898,-0.1667860001
2J,470,OUA,246,BKO,1044,0,M87 CRJ,12.3532,-1.51242,12.5335,-7.94994
2J,470,OUA,246,BOY,247,0,CRJ,12.3532,-1.51242,11.16009998,-4.33096981
2J,470,OUA,246,COO,245,0,M87,12.3532,-1.51242,6.357230186,2.384350061
2J,470,OUA,246,DKR,1084,0,M87,12.3532,-1.51242,14.73970032,-17.49020004
2J,470,OUA,246,LFW,298,0,CRJ,12.3532,-1.51242,6.165609837,1.254510045
2J,470,OUA,246,NIM,280,0,CRJ,12.3532,-1.51242,13.4815,2.18361
2K,1338,BOG,2709,GYE,2673,0,319,4.70159,-74.1469,-2.15741992,-79.88359833
2K,1338,BOG,2709,UIO,2688,0,319 320,4.70159,-74.1469,-0.1291666667,-78.3575
2K,1338,CLO,2715,GYE,2673,0,319,3.54322,-76.3816,-2.15741992,-79.88359833
2K,1338,GYE,2673,BOG,2709,0,319,-2.15741992,-79.88359833,4.70159,-74.1469
2K,1338,GYE,2673,CLO,2715,0,319,-2.15741992,-79.88359833,3.54322,-76.3816
2K,1338,GYE,2673,SCY,6045,0,319 320,-2.15741992,-79.88359833,-0.910206,-89.617401
2K,1338,GYE,2673,UIO,2688,0,320 319,-2.15741992,-79.88359833,-0.1291666667,-78.3575
2K,1338,OCC,2670,UIO,2688,0,319,-0.4628860056,-76.98680115,-0.1291666667,-78.3575
2K,1338,SCY,6045,GYE,2673,0,319 320,-0.910206,-89.617401,-2.15741992,-79.88359833
2K,1338,UIO,2688,BOG,2709,0,319 320,-0.1291666667,-78.3575,4.70159,-74.1469
2K,1338,UIO,2688,GYE,2673,0,319,-0.1291666667,-78.3575,-2.15741992,-79.88359833
2K,1338,UIO,2688,OCC,2670,0,319,-0.1291666667,-78.3575,-0.4628860056,-76.98680115
2L,2750,BDS,1506,ZRH,1678,0,100,40.6576,17.947001,47.464699,8.54917
